index,name,change,fans_count,play_count,gender,abstract,space_url,face
1,哔哩哔哩漫画,90,1269.17万,6631.96万,0,↑ 【关注漫画姬】就送【漫读券5张】，当日或次日登录哔哩哔哩漫画APP即可领取，快来关注领券吧(°∀°)ﾉ ↑,80,http://i1.hdslb.com/bfs/face/2254162161a60b528cfec449f3450409a81ebc37.jpg
2,老番茄,107,1176.63万,116390.32万,1,新浪微博：_老番茄_,97,http://i2.hdslb.com/bfs/face/bc5ca101313d4db223c395d64779e76eb3482d60.jpg
3,敬汉卿,124,863.49万,116396.23万,1,YouTube：敬汉卿【官方频道】 商务合作联系1905387728@qq.com,114,http://i2.hdslb.com/bfs/face/fd8d7ad17af295f7c4256959705f009c5f67e9c6.jpg
4,LexBurner,141,846.86万,84152.23万,1,新浪微博：http://weibo.com/lexburner,131,http://i1.hdslb.com/bfs/face/2996e22a24eed2d7767e452627a9130207defe6a.jpg
5,哔哩哔哩大会员,158,837.90万,146.12万,0,朋友，大会员了解一下~,148,http://i1.hdslb.com/bfs/face/fa6bd4292ccb3b3f7d21c957aeec8f878d56f77e.jpg
6,敖厂长,175,702.70万,84636.92万,0,up主并木有签名,165,http://i2.hdslb.com/bfs/face/8f80f1a4e71d2be308f578dcb2a2e1c70a8c3927.jpg
7,共青团中央,192,682.78万,108091.53万,0,大家好，我是皮皮团，右上角关注，点一下，玩好几年，看小片不花一分钱(◦˙▽˙◦)投稿发邮箱tzybilibili@163.com,182,http://i2.hdslb.com/bfs/face/2bb27602ede08bc063630711678da524928f5957.jpg
8,罗翔说刑法,209,681.87万,10066.84万,0,厚大法考刑法独家授课老师,199,http://i0.hdslb.com/bfs/face/4e5d0a51273fe3f8fabc700b6a71bb8a38c9e21e.jpg
9,凉风Kaze,226,651.73万,57207.82万,0,喜欢请关注~不喜欢的话我再想想办法~微博：@凉风Kaze 阅片无数系列每周三晚22点更新！！,216,http://i1.hdslb.com/bfs/face/e0cc906bb531195e9ee9f3b575effdd2b056eaea.jpg
10,papi酱,243,641.83万,45493.37万,0,一个集美貌与才华于一身的女子。商业邮箱：syhz@papitube.com。邮件请标明【papi合作】,233,http://i2.hdslb.com/bfs/face/e45a7b248f496fad8b32d3b9cfa0335339331798.jpg
11,周六野Zoey,260,639.08万,33557.85万,0,"每周四更新!微博同名,公众号wildsaturday, Ins:wildsaturday.zoey",250,http://i2.hdslb.com/bfs/face/3343a1a609d95c669671b0b4e57484708fb6760c.jpg
12,翔翔大作战,277,602.99万,91412.06万,0,up主并木有签名,267,http://i0.hdslb.com/bfs/face/e78a0ec3ae75e953948677062f034eb93c7302d5.jpg
13,李子柒,294,601.07万,16972.82万,0,李家有女，人称子柒。 新浪微博：李子柒 邮箱：liziqistyle@163.com,284,http://i2.hdslb.com/bfs/face/82d27965dae3b2fe9e52780c6309c7b37ad4cbf2.jpg
14,机智的党妹,311,585.04万,27443.56万,0,爱比讨厌更有力量。微博：我要这脸有何用 商业合作请联系qq：2221142014,301,http://i1.hdslb.com/bfs/face/f6652b5923648c0555029f6f96d79206c33dccd6.jpg
15,华农兄弟,328,572.49万,78545.14万,0,实拍农村美食美景，有趣好玩新鲜事！合作咨询 xy860086 ,318,http://i2.hdslb.com/bfs/face/bac504655c69ab937b0be4557e27535f794b0c66.jpg
16,中国BOY超级大猩猩,345,558.45万,86523.65万,1,新浪 @中国BOY-Hans,335,http://i2.hdslb.com/bfs/face/068939602dae190c86f6b36ca301281d7d8aa6d9.jpg
17,暴走漫画,362,547.84万,106044.89万,0,欢迎走进b站知名的严肃频道,352,http://i1.hdslb.com/bfs/face/c93ff5df2cd0c0c9384b139c86d1a56a9540c9a2.jpg
18,某幻君,379,546.11万,35069.06万,1,有事私信新娘浪微博: http://weibo.com/mouhuanjun b站私信不怎么看！,369,http://i2.hdslb.com/bfs/face/ede5e9251614c89c5c19a163a9bfde9a3913e115.jpg
19,我是郭杰瑞,396,539.80万,52992.49万,1,纽约犹太人，微博@我是郭杰瑞 ,386,http://i0.hdslb.com/bfs/face/6182455e4d61159121c223ddc7a3a381f2d4d056.jpg
20,伊丽莎白鼠,413,531.29万,35915.16万,0,一个热爱鬼畜的普通人。微博：@伊丽莎白鼠  weibo.com/LittleWhiteMouse ,403,http://i2.hdslb.com/bfs/face/6c36ec15f6d7ddd9bdb558511521bd0256779e1c.jpg
21,渗透之C君,430,505.88万,38312.65万,0,微博@渗透之C菌 weibo.com/roshinichi / ins: roshinichi 谢谢你喜欢我!,420,http://i1.hdslb.com/bfs/face/0e6854af41aa8a030c368e0779b8803b3e79941b.jpg
22,指法芬芳张大仙,447,490.73万,88303.06万,1,指法芬芳张大仙z,437,http://i0.hdslb.com/bfs/face/6426336744dd49a744eca32855808073988bd2ce.jpg
23,信誓蛋蛋,464,482.73万,28749.76万,1,微信公众号 ：@heyxinshidandan 微博：@real信誓蛋蛋 邮箱 ：hey@xinshidandan.fr,454,http://i1.hdslb.com/bfs/face/df0be0f1946581030cbaf34e3f66a996f0a1af4a.jpg
24,徐大虾咯,481,481.89万,45143.40万,1,微博@徐大虾咯咯丨商务合作请联系QQ2869920860,471,http://i2.hdslb.com/bfs/face/022ed8d37575bebe32346ba210395f9fe98a6a10.jpg
25,朱一旦的枯燥生活,498,464.71万,75053.70万,1,黑色幽默，感谢关注！ ,488,http://i2.hdslb.com/bfs/face/48ad92f9e0eb9516f491ed18457e2a73e865ea8c.jpg
26,哔哩哔哩电影,515,454.95万,125653.15万,0,up主并木有签名,505,http://i0.hdslb.com/bfs/face/ce5e0bf671780ab6da23e2c20bed79e3fdbe0568.jpg
27,观察者网,532,451.51万,245499.86万,0,广受年轻人心疼的时政网站（www.guancha.cn），合作联系shipin@guancha.cn。,522,http://i1.hdslb.com/bfs/face/1d6f100b921c9b48914eda8f3b37e76ba9ef4ca5.jpg
28,徐大sao,549,448.34万,81207.63万,0,骚是一种生活态度！今天咱们吃一顿好的！微博：徐大saoR,539,http://i0.hdslb.com/bfs/face/17323892be2e17b50acadb89b2e385b493f5fb4d.jpg
29,老师好我叫何同学,566,447.30万,10694.59万,0,放假会做贼有意思的视频    工作事宜联系：xhaxx1123@163.com,556,http://i2.hdslb.com/bfs/face/346d9c5e919a991216f4f5a950fb7b73cdd22fff.jpg
30,绵羊料理,583,446.37万,23043.94万,0,对着油炸的卡路里许愿，这辈子贪吃不胖！合作QQ：212926668,573,http://i1.hdslb.com/bfs/face/54b5c9c2ad7f1baff195090bfd6afa365ef20c37.jpg
31,木鱼水心,600,440.29万,51736.85万,1,公众号：木鱼水心 影评某种程度上，是让看过这部片的人，不那么孤独的东西。商务邮箱/QQ：bd@ark-tv.com,590,http://i2.hdslb.com/bfs/face/e922d9dc09a2d21f1400ad0f02f75ecf1b3575c8.jpg
32,哔哩哔哩英雄联盟赛事,617,437.40万,62169.75万,0,哔哩哔哩英雄联盟赛事官方账号，直播LPL、S10、季中赛、洲际赛等大型赛事。,607,http://i0.hdslb.com/bfs/face/cb620bbb9071974f37843134875d472b47532a97.jpg
33,美食作家王刚R,634,437.09万,38643.63万,0,美食作家王刚每周一，三，五更新川菜，粤菜，湘菜,624,http://i2.hdslb.com/bfs/face/1463fa4ea6bffd867dc257dca87248bb1d671cde.jpg
34,逍遥散人,651,420.90万,35653.05万,1,快乐 微博：weibo.com/xysanren 公众号：逍遥散人 ,641,http://i0.hdslb.com/bfs/face/a22f28e1190fab6f7fa2b81fadae1974cadf02f4.jpg
35,硬核的半佛仙人,668,419.31万,16144.55万,0,喜欢小仙女,658,http://i1.hdslb.com/bfs/face/aaf33dced1941af0946f37c62f4b48fcaba9c9a2.jpg
36,纳豆奶奶,685,416.97万,25044.93万,0,微博：@纳豆奶奶 旅居日本，江湖儿女，城市女郎。告白请私信~合作微信wilsonjp1010（需备注合作详情）,675,http://i2.hdslb.com/bfs/face/0a8638b34173708fcf979bd1166fbb7fdb1110a4.jpg
37,记录生活的蛋黄派,702,409.26万,40796.22万,0,小小美食博主 微信公众号：记录生活的蛋黄派微博：记录生活的蛋黄派,692,http://i1.hdslb.com/bfs/face/9ba6c7a0d3a2ebfe9db2f46219ece98e210d0269.jpg
38,哔哩哔哩纪录片,719,406.07万,117640.24万,0,莫得感情绝不咕咕的纪录菌,709,http://i1.hdslb.com/bfs/face/a837cc95d88395fddcf174d50b061566928ab1e7.jpg
39,张召忠,736,402.17万,15066.61万,1,各位网（玩）友（艺儿）大家好，我是局座张召忠。,726,http://i2.hdslb.com/bfs/face/e93bc7f0649f33fa63e5e0ee80be498796370401.jpg
40,央视新闻,753,394.53万,41732.37万,0,央视新闻官方账号,743,http://i1.hdslb.com/bfs/face/5a6808606bf1f7a2390b77e14df8d0d1d04680d9.jpg
41,花少北丶,770,386.75万,24531.21万,1,精神分裂症+间歇性失忆症 微博：花少北   工作邮箱:986643586@qq.com,760,http://i1.hdslb.com/bfs/face/86ef6895a8f88c80f2885e7eb9ba7989db437b93.jpg
42,手工耿,787,386.32万,27826.99万,0,喜欢做一些有趣的小手工。欢迎提供一些有意思想法。谢谢,777,http://i2.hdslb.com/bfs/face/b8a75ae7d2a0e2af1d36ca9f1084d850eebb28e3.jpg
43,大祥哥来了,804,380.80万,37278.79万,1,微博：@大祥哥来了,794,http://i2.hdslb.com/bfs/face/1b1fbd26ca19e309425ba58c46822b04a20bdf17.jpg
44,日食记,821,377.05万,17667.49万,1,治愈你心和胃的日食记：）欢迎来微信找铲屎官玩：rishiji002，微博@日食记@酥饼大人，公众号rishi-ji,811,http://i1.hdslb.com/bfs/face/1300ff9c3e45014f54ab5bd3602790a378ce6ac4.jpg
45,爱做饭的芋头SAMA,838,375.25万,15191.52万,0,誓做贵站第一饭见！ ,828,http://i0.hdslb.com/bfs/face/2182d21ff5ae520f392f55b59022bc17f43b4943.jpg
46,歪果仁研究协会,855,356.19万,24404.95万,0,微信@歪研会 微博@歪果仁研究协会 想要加入歪研会的盆友，快把自己的简历发送到talent@wewowwe.com,845,http://i2.hdslb.com/bfs/face/2a7ce63d91e613c4f58332dd01a5f2ac2c1ad788.jpg
47,靠脸吃饭的徐大王,872,353.95万,67173.37万,1,认证信息：B站知名颜值UP主,862,http://i0.hdslb.com/bfs/face/a3ab41c36338b39e5510fb2c23ff9d5e99989869.jpg
48,小潮院长,889,352.04万,31461.77万,1,观众与视频永远第一位丨商务合作请联系QQ2284771898,879,http://i1.hdslb.com/bfs/face/834eb0de8d2f470bf03e4ea92831b14f3824c863.jpg
49,柚子木字幕组,906,347.71万,112944.47万,0,知识&amp;生活。合作联系QQ 2523113364,896,http://i1.hdslb.com/bfs/face/efea73cc25184c18e7b4fd2250bbbaa5845a4814.jpg
50,起小点是大腿,923,331.97万,80034.98万,1,微博：@起小点是大腿 @小见见是大腿 @长歌是大腿  @甄一一是大腿 微信：见盘 合作VX：shidatuimcn,913,http://i0.hdslb.com/bfs/face/d2675df40673afe458ce7eca7bdf4fdc84555a6c.jpg
51,努力的Lorre,940,325.04万,38735.67万,1,漫威DC入门指南，视频更新，关注微信公众号：努力的Lorre,930,http://i1.hdslb.com/bfs/face/c63ebeed7d49967e2348ef953b539f8de90c5140.jpg
52,=咬人猫=,957,321.00万,25841.91万,0,面瘫女仆酱~小粗腿~事业线什么的！！吐槽你就输了！喵~,947,http://i0.hdslb.com/bfs/face/8fad84a4470f3d894d8f0dc95555ab8f2cb10a83.jpg
53,贤宝宝Baby,974,318.30万,35246.55万,0,微博:是贤宝宝本人  合作邮箱:2411507205@qq.com,964,http://i0.hdslb.com/bfs/face/227617e1021a0e416e0595acaee82efc5bffe515.jpg
54,毒角SHOW,991,314.77万,24405.41万,0,中国的人儿，世界的事儿，这个节目有种混合的味儿。头条／微博／美拍／秒拍／微信公众号：毒角SHOW,981,http://i0.hdslb.com/bfs/face/24486911dc40a0faa23b025b4493f15b086c65cc.jpg
55,吃素的狮子,1008,311.94万,36004.37万,1,发现生活，改变自己。合作邮箱：linjiaban2016@sina.cn,998,http://i2.hdslb.com/bfs/face/249bfa1b3d3e0932f533bc5364964b132fe9c6c2.jpg
56,巫师财经,1025,309.71万,3606.09万,1,不接广告勿私信，没有群也不建群，中英文案在公主号可自取,1015,http://i0.hdslb.com/bfs/face/c518dc95663850d075a90897de617cc634151f7a.jpg
57,盗月社食遇记,1042,302.34万,30709.14万,0,心里有光，哪儿都美。,1032,http://i0.hdslb.com/bfs/face/c7fb5da587c2ec6b56ad47579933fda34c000457.jpg
58,哔哩哔哩会员购,1059,301.12万,853.44万,0,【关注会员购】每周送【手办周边各种福利】下滑看动态了解一下~/商品问题咨询请转“我的-会员购中心-在线客服”哦,1049,http://i0.hdslb.com/bfs/face/8ae1403a65532bd22367a884a86ee1a15b55eb37.jpg
